Date,Volume
2016-01-03,1.56
2016-01-04,1.2
2016-01-05,2.16
2016-01-06,2.28
2016-01-07,3.0
2016-01-08,1.92
2016-01-09,1.56
2016-01-10,2.04
2016-01-11,3.48
2016-01-12,4.44
2016-01-13,3.84
2016-01-14,4.44
2016-01-15,4.2
2016-01-16,2.76
2016-01-17,1.92
2016-01-18,4.8
2016-01-19,4.08
2016-01-20,4.32
2016-01-21,3.12
2016-01-22,3.12
2016-01-23,1.92
2016-01-24,2.76
2016-01-25,2.28
2016-01-26,3.12
2016-01-27,2.4
2016-01-28,2.64
2016-01-29,3.48
2016-01-30,1.92
2016-01-31,2.4
2016-02-01,3.24
2016-02-02,2.76
2016-02-03,2.04
2016-02-04,2.4
2016-02-05,2.28
2016-02-06,1.2
2016-02-07,2.04
2016-02-08,2.04
2016-02-09,3.0
2016-02-10,3.84
2016-02-11,3.0
2016-02-12,2.64
2016-02-13,1.44
2016-02-14,2.04
2016-02-15,1.56
2016-02-16,1.2
2016-02-17,2.04
2016-02-18,3.0
2016-02-19,2.04
2016-02-20,2.04
2016-02-21,5.76
2016-02-22,12.97
2016-02-23,20.17
2016-02-24,14.05
2016-02-25,15.49
2016-02-26,20.65
2016-02-27,12.73
2016-02-28,5.88
2016-02-29,6.96
2016-03-01,8.4
2016-03-02,11.52
2016-03-03,7.44
2016-03-04,9.6
2016-03-05,7.44
2016-03-06,4.44
2016-03-07,3.36
2016-03-08,3.84
2016-03-09,3.72
2016-03-10,2.64
2016-03-11,3.84
2016-03-12,3.6
2016-03-13,5.64
2016-03-14,7.68
2016-03-15,9.84
2016-03-16,12.48
2016-03-17,8.4
2016-03-18,7.56
2016-03-19,5.16
2016-03-20,3.36
2016-03-21,3.96
2016-03-22,4.44
2016-03-23,3.72
2016-03-24,3.36
2016-03-25,4.2
2016-03-26,2.52
2016-03-27,2.52
2016-03-28,2.64
2016-03-29,3.12
2016-03-30,3.72
2016-03-31,4.68
2016-04-01,3.72
2016-04-02,2.52
2016-04-03,2.76
2016-04-04,4.2
2016-04-05,4.32
2016-04-06,3.84
2016-04-07,6.12
2016-04-08,3.24
2016-04-09,3.0
2016-04-10,2.4
2016-04-11,5.16
2016-04-12,3.72
2016-04-13,4.8
2016-04-14,4.2
2016-04-15,4.8
2016-04-16,1.68
2016-04-17,2.16
2016-04-18,4.08
2016-04-19,4.8
2016-04-20,6.96
2016-04-21,4.08
2016-04-22,3.72
2016-04-23,3.12
2016-04-24,2.16
2016-04-25,2.52
2016-04-26,3.6
2016-04-27,3.48
2016-04-28,2.52
2016-04-29,2.4
2016-04-30,1.44
2016-05-01,3.24
2016-05-02,6.12
2016-05-03,7.68
2016-05-04,16.45
2016-05-05,15.37
2016-05-06,11.88
2016-05-07,4.68
2016-05-08,2.64
2016-05-09,3.12
2016-05-10,2.16
2016-05-11,2.64
2016-05-12,1.8
2016-05-13,2.04
2016-05-14,1.68
2016-05-15,2.28
2016-05-16,3.84
2016-05-17,3.36
2016-05-18,2.52
2016-05-19,2.04
2016-05-20,2.64
2016-05-21,1.2
2016-05-22,2.04
2016-05-23,2.76
2016-05-24,1.56
2016-05-25,2.28
2016-05-26,1.92
2016-05-27,2.28
2016-05-28,2.16
2016-05-29,1.56
2016-05-30,1.8
2016-05-31,2.04
2016-06-01,1.56
2016-06-02,1.56
2016-06-03,1.68
2016-06-04,2.4
2016-06-05,1.8
2016-06-06,3.12
2016-06-07,4.08
2016-06-08,4.2
2016-06-09,3.12
2016-06-10,2.76
2016-06-11,3.24
2016-06-12,1.92
2016-06-13,2.28
2016-06-14,1.32
2016-06-15,1.2
2016-06-16,1.44
2016-06-17,1.68
2016-06-18,1.44
2016-06-19,1.2
2016-06-20,0.48
2016-06-21,0.48
2016-06-22,0.96
2016-06-23,0.36
2016-06-24,0.6
2016-06-25,0.6
2016-06-26,1.08
2016-06-27,0.84
2016-06-28,0.6
2016-06-29,0.48
2016-07-01,0.24
2016-07-02,0.24
2016-07-03,1.44
2016-07-04,1.08
2016-07-05,2.16
2016-07-06,2.16
2016-07-07,1.44
2016-07-08,1.44
2016-07-09,2.16
2016-07-10,1.2
2016-07-11,0.72
